feature,mean,std,count
sentiment_TWITTER_COUNT,0.2583850643391668,,1
price_trend_20d,0.1397491192757486,,1
sentiment_TWITTER_COUNT_z,0.12405729604116361,,1
underlying_PX_LAST,0.07464814637899701,,1
recent_avg_pnl,0.06563110009028304,,1
sentiment_NEWS_COUNT,0.06388846659609185,,1
sentiment_NEWS_COUNT_z,0.05243420002418643,,1
event_EV_pre_window,0.03654388947324662,,1
recent_pnl_vol,0.028721934937878602,,1
options_flow_3MO_PUT_IMP_VOL,0.026055445461124434,,1
vol_90d_z,0.02454897309598369,,1
event_EV_in_window,0.021988439029203763,,1
sentiment_NET_SENTIMENT_z,0.021944460008141303,,1
options_flow_PUT_CALL_VOLUME_RATIO_CUR_DAY,0.015374021840449632,,1
event_EV_after_surprise,0.015000823069810636,,1
options_flow_3MO_CALL_IMP_VOL,0.011329168047475186,,1
options_flow_IVOL_MONEYNESS,0.011124666784469921,,1
momentum_21d,0.0037883523850327544,,1
sentiment_NET_SENTIMENT,0.003676735774889204,,1
underlying_VOLATILITY_90D,0.000540486966334586,,1
recent_hit_rate,0.0005009208524520611,,1
options_flow_OPEN_INT_TOTAL_PUT,5.6711068551543375e-05,,1
options_flow_TOT_OPT_VOLUME_CUR_DAY,8.494066722176536e-06,,1
options_flow_OPEN_INT_TOTAL_CALL,2.999527769077274e-06,,1
underlying_TURNOVER,8.486482747537704e-08,,1
